emp_no,dept_no,from_date,to_date
471405,d004,11-08-1996,26-09-1997
471406,d004,12-12-1997,01-01-9999
471407,d001,22-01-2001,01-01-9999
471407,d007,10-11-1989,22-01-2001
471408,d005,07-01-1999,01-01-9999
471409,d005,11-01-1999,18-07-1999
471410,d005,15-08-1997,01-01-9999
471411,d002,17-08-1997,01-01-9999
471412,d003,27-04-1987,11-08-1989
471413,d005,18-11-1996,01-01-9999
471414,d009,07-08-1996,01-01-9999
471415,d001,19-10-1986,01-01-9999
471416,d001,31-03-1997,01-01-9999
471416,d007,24-02-1992,31-03-1997
471417,d005,13-11-1985,02-03-1993
471418,d008,11-07-1987,01-01-9999
471419,d004,20-07-1987,01-01-9999
471420,d004,30-03-1994,01-01-9999
471421,d004,20-01-1997,01-01-9999
471422,d007,18-09-1998,01-01-9999
471423,d002,16-08-1988,01-01-9999
471424,d008,15-06-1999,01-01-9999
471425,d005,01-11-1989,01-01-9999
471426,d001,08-05-1997,06-04-1998
471426,d007,13-02-1993,08-05-1997
471427,d004,29-05-1997,01-01-9999
471428,d007,25-10-1995,01-01-9999
471429,d008,20-02-1997,12-02-1999
471430,d004,19-06-1995,01-01-9999
471431,d008,28-05-1988,01-01-9999
471432,d008,14-05-1989,23-07-2002
471433,d005,23-02-1985,01-01-9999
471434,d007,05-02-1989,17-01-1992
471435,d007,31-03-1997,01-01-9999
471436,d004,30-10-1987,01-01-9999
471436,d005,19-03-1987,30-10-1987
471437,d005,05-01-1998,01-01-9999
471438,d004,08-05-1991,01-01-9999
471439,d009,07-08-1999,01-01-9999
471440,d005,06-12-1996,01-01-9999
471441,d005,17-01-1988,01-01-9999
471442,d006,12-08-1998,01-01-9999
471443,d005,05-06-1985,09-08-1998
471444,d007,03-08-1994,02-05-2002
471444,d009,02-05-2002,01-01-9999
471445,d005,11-10-1992,01-01-9999
471446,d004,01-02-1995,01-01-9999
471447,d005,31-01-1994,05-05-1995
471448,d004,14-05-1994,01-01-9999
471449,d004,10-03-1988,01-01-9999
471450,d006,02-11-1991,01-01-9999
471451,d002,26-08-1989,14-05-1993
471452,d002,03-07-1991,01-01-9999
471453,d007,02-02-1996,09-08-1999
471453,d009,09-08-1999,01-01-9999
